created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Nov 12 23:59:57 +0000 2023;1723853169514410272;"@officialinews_ Bersama pak ganjar indonesia maju";0;0;0;0;in;1556511882017513472;1723558741851709792;AlvSyd;https://twitter.com/AlvSyd/status/1723853169514410272
Sun Nov 12 23:59:54 +0000 2023;1723853156931764526;"@gus_dibyo Mantap kali nih ya yang selalu dihati rakyat ya cuma pak Ganjar seorang";0;0;0;0;in;1619252813493854208;1723685328501035327;tmedkv;https://twitter.com/tmedkv/status/1723853156931764526
Sun Nov 12 23:59:54 +0000 2023;1723853155417612376;"@gus_dibyo Percaya deh pak orang baik seperti pak Ganjar pasti tidak akan berjuang sendirian";0;0;0;0;in;1389158180790276099;1723685328501035327;CilikPenyiar;https://twitter.com/CilikPenyiar/status/1723853155417612376
Sun Nov 12 23:59:52 +0000 2023;1723853148035670114;"@kiki_daliyo Setuju..   Rembang Melawan  Saatnya kita bertindak untuk mengubah negeri ini menjadi lebih baik lagi. salah satunya dengan memilih pemimpin yang tepat di 2024 nanti.  Ganjar mahfud pilihan kita semua https://t.co/zdu1CL7rzY";0;0;0;0;in;1707104231168364544;1723657825698947368;YunaVridaa;https://twitter.com/YunaVridaa/status/1723853148035670114
Sun Nov 12 23:59:49 +0000 2023;1723853135620472965;"@Gus_Raharjo Ayo kita doakan semoga Ganjar Mahfud menang satu putaran";0;0;0;0;in;1702112854441394176;1723681071936799200;GanjarLagi_1;https://twitter.com/GanjarLagi_1/status/1723853135620472965
Sun Nov 12 23:59:43 +0000 2023;1723853108693131510;"@ganjarpranowo Memang Pak Ganjar adalah sosok orang baik sehingga banyak mencintai beliau";0;0;0;0;in;1683568703621722113;1723649027106132210;VioletteKa12267;https://twitter.com/VioletteKa12267/status/1723853108693131510
Sun Nov 12 23:59:32 +0000 2023;1723853064757752305;"@Nikmatul_Sg Begini amat ya orang gak mau bersaing secara sehat, sampai poster jadi sasaran. sabar ya pak ganjar";0;0;0;0;in;1701299319222181888;1723558368420446531;ristagita_;https://twitter.com/ristagita_/status/1723853064757752305
Sun Nov 12 23:59:29 +0000 2023;1723853050253562032;"@NgkongRoses Selalu ada cinta utk pak ganjar";0;1;1;1;in;4184979312;1723846953166066062;AntoniusCDN;https://twitter.com/AntoniusCDN/status/1723853050253562032
Sun Nov 12 23:59:26 +0000 2023;1723853035955540054;"@Nikmatul_Sg Pemimpin yg responsiiff, Ganjar Pranowo dengan sigap mengatasii permasalahan masyarakat secara efektif.";0;0;0;0;in;1697801953244499968;1723652144803553645;tasaneeuna;https://twitter.com/tasaneeuna/status/1723853035955540054
Sun Nov 12 23:59:13 +0000 2023;1723852982322962673;"@VIVAcoid Tetep pk ganjar noo";0;0;0;0;in;1691689756927877120;1723370776311865835;_caca93;https://twitter.com/_caca93/status/1723852982322962673
Sun Nov 12 23:59:06 +0000 2023;1723852955957547026;"@ganjarpranowo Doa kami rakyat Indonesia juga selalu menyertai pak Ganjar, semoga 2024 menang";0;0;0;0;in;603166721;1723649027106132210;scwreen;https://twitter.com/scwreen/status/1723852955957547026
Sun Nov 12 23:59:04 +0000 2023;1723852943592747441;"Ganjar Pranowo Safari Politik ke Tapanuli Utara, Tabur Benih Ikan dan Didoakan Jadi Presiden https://t.co/iwpX82aWyX";0;2;2;4;in;55507370;1723852943592747441;tvOneNews;https://twitter.com/tvOneNews/status/1723852943592747441
Sun Nov 12 23:59:01 +0000 2023;1723852931420565649;"@PDI_Perjuangan Sukses selalu pak Ganjar Mahfud";0;0;0;0;in;1692102987114807296;1723698350984470704;vyvlayno;https://twitter.com/vyvlayno/status/1723852931420565649
Sun Nov 12 23:58:58 +0000 2023;1723852921937551670;"@kiki_daliyo @ganjarpranowo Warga sangat senang ada Pak Ganjar di Medan";0;0;0;0;in;1713352988608417792;1723558504173371891;xowomo286092;https://twitter.com/xowomo286092/status/1723852921937551670
Sun Nov 12 23:58:58 +0000 2023;1723852920054272139;"@ToniSbyo @msaid_didu Yg menarik itu Amin gagal ke putran kedua ,trus PKs dan nasdem gabung ganjar🤐  Gw mau liat pak @msaid_didu mau keMana??😆😆  Dukung ganjar??";0;1;0;1;in;1642345189502222336;1723653521814564956;Papa_Brewook;https://twitter.com/Papa_Brewook/status/1723852920054272139
Sun Nov 12 23:58:53 +0000 2023;1723852898235478141;"@gus_dibyo Sambutan untuk Pak Ganjar dimana-mana selalu penuh anak-anak dan masyarakat biasa, semoga doa baik dikabulkan Pak Ganjar untuk RI1";0;0;0;0;in;1702112854441394176;1723685328501035327;GanjarLagi_1;https://twitter.com/GanjarLagi_1/status/1723852898235478141
Sun Nov 12 23:58:51 +0000 2023;1723852890975195609;"@Nikmatul_Sg Ganjar Pranowo trss memperjuangkann kesejahteraann rakyat Jawa Tengah melalui kebijakan dan aksi nyata.";0;0;0;0;in;1697584518356672512;1723652144803553645;Adaraadeliaa;https://twitter.com/Adaraadeliaa/status/1723852890975195609
Sun Nov 12 23:58:50 +0000 2023;1723852884700205273;"@anwarsupeno @soeyoto1 ganjar belok dari komitmen ikn ya karena dia skrg sudah jadi bagian dari oposisi itu sendiri.";0;0;0;0;in;1517184601780736012;1723669822905749811;EdyKiantolol;https://twitter.com/EdyKiantolol/status/1723852884700205273
Sun Nov 12 23:58:47 +0000 2023;1723852875296899485;"@gus_dibyo Biarkan juga mereka pakai alat negara gus, rakyat tetap memilih pak Ganjar Mahfud";0;0;0;0;in;1380697131317534722;1723685328501035327;kepalapening31;https://twitter.com/kepalapening31/status/1723852875296899485
Sun Nov 12 23:58:40 +0000 2023;1723852844238004367;"@Miduk17 pengen jd memberikan kaos2 ganjar buat pendukung dan calon pemikih ganjar, kali di sini ada yg punya kaos ganjar mahfud";0;1;0;0;in;853439664979451904;1723735020563583443;Relep715823;https://twitter.com/Relep715823/status/1723852844238004367
Sun Nov 12 23:58:39 +0000 2023;1723852841910173733;"@kiki_daliyo @ganjarpranowo mantep banget huhu semangat terus pak Ganjar";0;0;0;0;in;1631575388878168064;1723558504173371891;MaryMeaaa;https://twitter.com/MaryMeaaa/status/1723852841910173733
Sun Nov 12 23:58:36 +0000 2023;1723852828555567396;"@gus_dibyo kalo aku pak ganjar saja sudah pasti gada catut mencatut wkwk";0;0;0;0;in;1708483719844233216;1723589486473617857;HamkaSipal25921;https://twitter.com/HamkaSipal25921/status/1723852828555567396
Sun Nov 12 23:58:34 +0000 2023;1723852819097108836;"@Nikmatul_Sg Ganjar Pranowo, Gubernur Jawa Tengah, memimpin dngann teladan, menunjukkan integritas dan dedikasii yang tinggi terhadap pelayanan publikk";0;0;0;0;in;1695857765863071744;1723652144803553645;Ayyarabelv915;https://twitter.com/Ayyarabelv915/status/1723852819097108836
Sun Nov 12 23:58:22 +0000 2023;1723852770254508251;"@kiki_daliyo @ganjarpranowo Ini yang saya suka dari pak ganjar selalu memperhatikan masyarakat";0;0;0;0;in;1655399288518717441;1723558504173371891;ncicadidinding;https://twitter.com/ncicadidinding/status/1723852770254508251
Sun Nov 12 23:58:20 +0000 2023;1723852760460710233;"@kiki_daliyo @ganjarpranowo luar biasa banget sih pak ganjar selalu jadi yang terdepan buat rakyatnya";0;0;0;0;in;1631574847552888832;1723558504173371891;SaraSalll;https://twitter.com/SaraSalll/status/1723852760460710233
Sun Nov 12 23:58:17 +0000 2023;1723852748058148973;"@kiki_daliyo @ganjarpranowo Pak Ganjar, bukan hanya pemimpin, tapi juga sahabat sejati rakyat. Keberanian dan kesetiaannya terhadap kepentingan masyarakat menjadi ciri khas yang membuat kita bangga memiliki pemimpin sepertinya";0;0;0;0;in;1707977446497349632;1723558504173371891;YourloverLuffy;https://twitter.com/YourloverLuffy/status/1723852748058148973
Sun Nov 12 23:58:11 +0000 2023;1723852723890880860;"@ganjarpranowo . Dukungan yang diberikan oleh masyarakat Tapanuli kepada Pak Ganjar sungguh luar biasa. Terima kasih banyak atas cinta dan kepercayaan yang diberikan. Semoga kebersamaan ini terus menguatkan. 💪😊";0;0;0;0;in;1701435365486440448;1723649027106132210;Jinkimseok67804;https://twitter.com/Jinkimseok67804/status/1723852723890880860
Sun Nov 12 23:58:10 +0000 2023;1723852719440498814;"@detikcom Pak ganjar takut kalah ma bocah🤐";0;1;0;2;in;1601276407337799680;1723551191681192276;AdhyTzy;https://twitter.com/AdhyTzy/status/1723852719440498814
Sun Nov 12 23:58:03 +0000 2023;1723852691191877638;"@kiki_daliyo @ganjarpranowo Kehadiran pak Ganjar di tengah-tengah rakyat adalah sinergi antara pemimpin yang peduli dan sosok yang menginspirasi. Tak hanya di kantor, tapi di hati rakyat!";0;0;0;0;in;1210840618789851136;1723558504173371891;710_CS;https://twitter.com/710_CS/status/1723852691191877638
Sun Nov 12 23:58:01 +0000 2023;1723852679544259035;"Dewan Pembina Sahabat Ganjar Fahlesa Munabari Mengecam aksi pencopotan baliho Ganjar Mahfud oleh Satpol-PP yg terjadi di Pematang Siantar dan Bali baru-baru ini.  Yang dilakukan oleh Satpol-PP ini sangatlah tidak fair dan menciderai netralitas berpolitik para ASN  #SahabatGanjar https://t.co/6sdgfdKwXv";0;1;26;36;in;988386448402333696;1723852679544259035;Tuhasani;https://twitter.com/Tuhasani/status/1723852679544259035
Sun Nov 12 23:58:00 +0000 2023;1723852675211546927;"@kiki_daliyo @ganjarpranowo bener banget tuh pak ganjar garda terdepan untuk rakyatnya";0;0;0;0;in;1616446361867792385;1723558504173371891;Sanjuann3;https://twitter.com/Sanjuann3/status/1723852675211546927
Sun Nov 12 23:57:58 +0000 2023;1723852667548799477;"@kiki_daliyo @ganjarpranowo Pak ganjar dan bu atikoh pun gak canggung makan di emperan";0;0;0;0;in;1656224362242928643;1723558504173371891;Hazelnutpiyik;https://twitter.com/Hazelnutpiyik/status/1723852667548799477
Sun Nov 12 23:57:49 +0000 2023;1723852632689709110;"@kiki_daliyo @ganjarpranowo Pak Ganjar, teladan sejati! Keberadaan beliau selalu terasa dekat dengan rakyat, menjadi pahlawan yang selalu siap menjaga dan membela kepentingan mereka.";0;0;0;0;in;1687539836226514944;1723558504173371891;luvluvintheair;https://twitter.com/luvluvintheair/status/1723852632689709110
Sun Nov 12 23:57:42 +0000 2023;1723852599789810035;"@PDI_Perjuangan HALAH MUNAFIK KALAU @gibran_tweet KE GANJAR JUGA PASTI HATI NURANI KALIAN DIMATIKAN JUGA DAN PURA-PURA BUTA TULI SEKARANG KARENA GAK SESUAI KEMAUAN TERUS MULAI DEH SINETRON NANGIS-NANGISNYA BAWA2 HATI NURANI UNTUK NYARI SIMPATI";0;0;0;0;in;1343070832457748480;1723538712867516434;nuhe_gaming;https://twitter.com/nuhe_gaming/status/1723852599789810035
Sun Nov 12 23:57:41 +0000 2023;1723852598544093600;"@Nikmatul_Sg Takutkah sama dukungan rakyat untuk pak ganjar, sampe balihonya aja dicopot?";0;0;0;0;in;788450151719247872;1723558368420446531;zvpisbpqtcmru;https://twitter.com/zvpisbpqtcmru/status/1723852598544093600
Sun Nov 12 23:57:35 +0000 2023;1723852570144252174;"@Nikmatul_Sg Keterlibatan Ganjar Pranowo dlm dialogg antaragamaa menggambarkan komitmennya terhadap harmoni sosial.";0;0;0;0;in;1695858750580834304;1723652144803553645;aneishaberly;https://twitter.com/aneishaberly/status/1723852570144252174
Sun Nov 12 23:57:32 +0000 2023;1723852560786948442;"@kiki_daliyo @ganjarpranowo Pak ganjar sosok pemimpin yang akrab dengan rakyat";0;0;0;0;in;1662152804734042112;1723558504173371891;Aksumoto;https://twitter.com/Aksumoto/status/1723852560786948442
Sun Nov 12 23:57:28 +0000 2023;1723852541333782645;"Ga punya kemaluan klu msh maju 😂";0;1;2;1;in;1637841258231271424;1723852541333782645;Ganjar_Mahfud08;https://twitter.com/Ganjar_Mahfud08/status/1723852541333782645
Sun Nov 12 23:57:17 +0000 2023;1723852495590424994;"@Nikmatul_Sg Program pemberdayaan perempuan yg dicanangkan olehh Ganjar Pranowo memberikan kontribusii positif pada kesetaraan gender.";0;0;0;0;in;1695855919945670656;1723652144803553645;Arsyakayla18135;https://twitter.com/Arsyakayla18135/status/1723852495590424994
Sun Nov 12 23:57:16 +0000 2023;1723852490594984054;"@TomCruzz555 @Christi80876461 Sak Karepmu mencla mencle..  Rakyat sdh tau dan memilih Ganjar Mahfud MD @jokowi @gibran_tweet";0;1;1;2;in;1452411379940356099;1723829481138229416;arya_dhena;https://twitter.com/arya_dhena/status/1723852490594984054
Sun Nov 12 23:57:13 +0000 2023;1723852478603522529;"@ganjarpranowo Amiiiin semoga Pak Ganjar adalah sosok pemimpin yang diamanatkan oleh rakyat";0;0;0;0;in;1702112854441394176;1723649027106132210;GanjarLagi_1;https://twitter.com/GanjarLagi_1/status/1723852478603522529
Sun Nov 12 23:57:12 +0000 2023;1723852474707021853;"@kiki_daliyo @ganjarpranowo Dimanapun pak ganjar berkunjung selalu di sambut antusias. 🥰";0;0;0;0;in;1701299319222181888;1723558504173371891;ristagita_;https://twitter.com/ristagita_/status/1723852474707021853
